foodpantry,address,address2,city,state,zip,phone,county,pantry_lon,pantry_lat,key,code,description,url,parent_station_id,agency_ids,station_id,location_type,stop_id,routes,name,bus_lat,bus_lng,distance_meter,distance_miles
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5006,,,,24,,stop,4049730,4000079,Alston Ave at Durham Freeway,35.98103,-78.89091,571.594020579,0.35517294082
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5008,,,,"12, 24",,stop,4049734,"4000079, 4000116",S Alston Ave at Massey Ave,35.97815,-78.89219,910.722077534,0.565897869644
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5024,,,,24,,stop,4049778,"4000085, 4003062",2309 Angier Ave,35.98067,-78.87443,1370.78879699,0.851770786158
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5038,,,,24,,stop,4049818,"4000083, 4000086, 4003058, 4005298",Liberty St at Queen St,35.99365,-78.89555,1095.82466566,0.680915571387
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5039,,,,24,,stop,4049822,"4000088, 4004490",Fayetteville St at E Piedmont Ave,35.98433,-78.89912,987.962075341,0.613892698461
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5056,,,,24,,stop,4049866,4000091,Lawson St at Sima Ave,35.97452,-78.89097,1266.32249321,0.786858273089
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5088,,,,"12, 24",,stop,4049954,"4000079, 4000116",S Alston Ave at Massey Ave,35.97835,-78.89238,897.17456045,0.557479811879
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5111,,,,24,,stop,4050014,4000091,Lawson St at WG Pearson Cafeteria,35.97642,-78.89943,1439.93331447,0.894735304208
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5115,,,,24,,stop,4050026,4000079,Alston Ave at Dayton St,35.97383,-78.89409,1419.33025437,0.881933124366
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5138,,,,24,,stop,4050098,"4000085, 4003034, 4003062",Angier Ave at Driver St,35.98213,-78.87772,1034.10698182,0.64256588528
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5148,,,,24,,stop,4050122,"4000085, 4003034, 4003062",E Main St at Alston Ave,35.9876,-78.88817,208.45423164,0.12952777638
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5154,,,,24,,stop,4050142,4000079,Alston Ave at US 147,35.98081,-78.89124,606.335117631,0.376760111369
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5179,,,,24,,stop,4050186,"4000090, 4000091",Roxboro St at Lodge St,35.98123,-78.90421,1519.01154943,0.943872363471
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5198,,,,24,,stop,4050230,"4000083, 4000086, 4003058, 4005298",Holloway St at Hyde Park Ave,35.99437,-78.88204,1113.06932799,0.691630934414
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5204,,,,"12, 24",,stop,4050250,"4000079, 4000116",S Alston Ave at Dupree St,35.9764,-78.89307,1120.48868307,0.696241119387
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5205,,,,24,,stop,4050254,"4000085, 4003034, 4003062",Angier Ave at Vine St,35.98342,-78.88113,695.299219139,0.432039978587
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5206,,,,"12, 24",,stop,4050258,"4000091, 4000116",Lawson St at Rosewood St (eastbound),35.9751,-78.89238,1234.9545691,0.767367100241
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5215,,,,24,,stop,4050286,"4000088, 4004490",Fayetteville St at Lawson St,35.9768,-78.90083,1502.50923663,0.933618276203
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5218,,,,24,,stop,4050290,"4000083, 4000086, 4003058, 4005298",Holloway St at Elm St,35.9945,-78.8874,977.116017387,0.607153253748
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5241,,,,24,,stop,4050366,4000091,Lawson St at Durham Tech Library,35.9743,-78.88245,1373.02774105,0.853162004954
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5245,,,,24,,stop,4050378,"4000083, 4000086, 4003058, 4005298",Holloway St at Alston Ave,35.9945,-78.88514,1014.57377078,0.630428480483
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5264,,,,24,,stop,4050426,4000091,Bacon St at Lawson St,35.97463,-78.88485,1269.71652626,0.788967232689
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5265,,,,24,,stop,4050430,"4000085, 4003034, 4003062",E Main St at Blacknall St,35.98657,-78.8859,235.881264955,0.146570187129
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5280,,,,24,,stop,4050474,"4000085, 4000093, 4003034, 4003062",E Main St at S Dillard St,35.9918,-78.8952,917.419576307,0.570059512786
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5290,,,,24,,stop,4050498,4000091,807 Bacon St,35.97586,-78.88465,1142.95244922,0.71019949123
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5291,,,,24,,stop,4050502,"4000083, 4000086, 4003058, 4005298",Holloway St at Chester St,35.99452,-78.88257,1104.29231822,0.686177139831
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5305,,,,24,,stop,4050526,"4000085, 4000093",E Main St at Mangum St,35.99492,-78.90025,1484.02697284,0.922133901373
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5310,,,,24,,stop,4050542,"4000085, 4003034, 4003062",Angier Ave at Guthrie Ave,35.98142,-78.87597,1210.16168581,0.751961478498
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5313,,,,24,,stop,4050550,4000079,Alston Ave at Lawson St,35.97495,-78.89362,1288.19244617,0.800447665606
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5316,,,,"12, 24",,stop,4050562,"4000091, 4000116",Lawson St at Durham Tech (across),35.97428,-78.88077,1440.02120066,0.894789914286
Asbury Temple United Methodist Church,201 Alston Avenue,,Durham,NC,27701,(919) 688-4578,Durham,-78.8882998,35.9857243,1.0,5337,,,,24,,stop,4050638,"4000088, 4004490",Lakewood Ave at Heritage Square,35.98718,-78.90033,1096.83103633,0.681540902689
