"code","description","url","parent_station_id","agency_ids","station_id","location_type","stop_id","routes","name","location.lat","location.lng"
"1","1240","","",NA,"12",NA,"stop","4025434","4000112","NC 55 at Colony Woods Dr",35.75749,-78.87623
"2","1241","","",NA,"12",NA,"stop","4025438","4000112","NC 55 at Old Jenks Rd",35.76126,-78.87546
"3","1242","","",NA,"12",NA,"stop","4025442","4000112","NC 55 at Lewey Dr",35.77369,-78.87318
"4","1262","","",NA,"12",NA,"stop","4025474","4000112, 4000117","Pine Plaza Dr at Summit Lake Dr",35.74599,-78.82045
"5","1263","","",NA,"12",NA,"stop","4025478","4000112, 4000117","Pine Plaza Dr at Shepherds Vineyard",35.74686,-78.8234
"6","1443","","",NA,"12",NA,"stop","4025902","4000112","NC 55 at Turner Creek Rd",35.77284,-78.8736
"7","1444","","",NA,"12",NA,"stop","4025906","4000112","NC 55 at Jenks Rd",35.7607,-78.8759
"8","1445","","",NA,"12",NA,"stop","4025910","4000112","NC 55 at Colony Woods Dr",35.75678,-78.87662
"9","1446","","",NA,"12",NA,"stop","4025914","4000112","NC 55 at Vision Dr",35.7523,-78.8773
"10","1447","","",NA,"12",NA,"stop","4025918","4000112","Williams St (NC 55) at Olive Chapel Rd",35.73607,-78.86296
"11","1449","","",NA,"12",NA,"stop","4025922","4000112","Hughes St at Galaxy Foods PNR",35.72657,-78.85134
"12","1450","","",NA,"12",NA,"stop","4025926","4000112","Hughes St at Galaxy Foods PNR",35.72648,-78.85115
"13","1452","","",NA,"12",NA,"stop","4025930","4000112","Mason St at Apex Town Hall (across)",35.73308,-78.84532
"14","1453","","",NA,"12",NA,"stop","4025934","4000112","Old Raleigh Rd at Heatherwood Dr",35.73559,-78.83319
"15","1454","","",NA,"12",NA,"stop","4025938","4000112","Old Raleigh Rd at New Dover Rd",35.73545,-78.83466
"16","1455","","",NA,"12",NA,"stop","4025942","4000112","Old Raleigh Rd at Sterling Silver Dr",35.73909,-78.82657
"17","1456","","",NA,"12",NA,"stop","4025946","4000112","Old Raleigh Rd at Shepherds Vineyard Dr",35.74119,-78.82422
"18","1593","","",NA,"12",NA,"stop","4026202","4000112","Williams St (NC 55) at Hunter St",35.73611,-78.86274
"19","1596","","",NA,"12",NA,"stop","4026206","4000112","Mason St at Apex Town Hall",35.73307,-78.84554
"20","1597","","",NA,"12",NA,"stop","4026210","4000112","Old Raleigh Rd at Sterling Silver Dr",35.73896,-78.82645
"21","1598","","",NA,"12",NA,"stop","4026214","4000112","Old Raleigh Rd at Shepherds Vineyard Dr",35.74121,-78.82391
"22","1599","","",NA,"12",NA,"stop","4026218","4000112","NC 55 at Vision Dr",35.75249,-78.877
"23","1720","","",NA,"12",NA,"stop","4026346","4000112, 4000117","Shepherds Vineyard at Lake Pine",35.74567,-78.82358
"24","1723","","",NA,"12",NA,"stop","4026350","4000112","Williams St (NC 55) at Bank of America",35.73792,-78.86473
"25","1726","","",NA,"12",NA,"stop","4026354","4000112","Williams St (NC 55) at Peakway Mkt",35.73829,-78.86478
"26","1730","","",NA,"12",NA,"stop","4026362","4000112","Williams St (NC 55) at Beaver Creek",35.74402,-78.87126
"27","1731","","",NA,"12",NA,"stop","4026366","4000112","Williams St (NC 55) at Beaver Creek",35.74398,-78.87086
"28","3664","","",NA,"12",NA,"stop","4028978","4000111","Durham Tech OCC (Park-and-Ride)",36.04073,-79.09203
"29","3665","","",NA,"12",NA,"stop","4028982","4000111","NC 86 at Walmart",36.0554,-79.08009
