GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Households receiving food stamps; Estimate; Households,Households receiving food stamps; Margin of Error; Households,Households not receiving food stamps; Estimate; Households,Households not receiving food stamps; Margin of Error; Households,Total; Estimate; With one or more people 60 years and over,Total; Margin of Error; With one or more people 60 years and over,Households receiving food stamps; Estimate; With one or more people 60 years and over,Households receiving food stamps; Margin of Error; With one or more people 60 years and over,Households not receiving food stamps; Estimate; With one or more people 60 years and over,Households not receiving food stamps; Margin of Error; With one or more people 60 years and over,Total; Estimate; With children under 18 years,Total; Margin of Error; With children under 18 years,Households receiving food stamps; Estimate; With children under 18 years,Households receiving food stamps; Margin of Error; With children under 18 years,Households not receiving food stamps; Estimate; With children under 18 years,Households not receiving food stamps; Margin of Error; With children under 18 years,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Households not receiving food stamps; Margin of Error; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; DISABILITY STATUS - With one or more people with a disability,Total; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Estimate; DISABILITY STATUS - With one or more people with a disability,Households not receiving food stamps; Margin of Error; DISABILITY STATUS - With one or more people with a disability,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - White,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Black or African American,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - American Indian and Alaska Native,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Asian,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - One race - Some other race,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Estimate; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Households not receiving food stamps; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Households receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),Households not receiving food stamps; Estimate; Hispanic or Latino origin (of any race),Households not receiving food stamps; Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Households receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households receiving food stamps; Margin of Error; White alone, not Hispanic or Latino","Households not receiving food stamps; Estimate; White alone, not Hispanic or Latino","Households not receiving food stamps; Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Estimate; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Households not receiving food stamps; Margin of Error; HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Median income (dollars),Total; Estimate; WORK STATUS - Families,Total; Margin of Error; WORK STATUS - Families,Households receiving food stamps; Estimate; WORK STATUS - Families,Households receiving food stamps; Margin of Error; WORK STATUS - Families,Households not receiving food stamps; Estimate; WORK STATUS - Families,Households not receiving food stamps; Margin of Error; WORK STATUS - Families,Total; Estimate; WORK STATUS - Families - No workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - No workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - No workers in past 12 months,Total; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Total; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 1 worker in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 1 worker in past 12 months,Total; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Estimate; WORK STATUS - Families - 2 or more workers in past 12 months,Households not receiving food stamps; Margin of Error; WORK STATUS - Families - 2 or more workers in past 12 months,Total; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Total; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Estimate; PERCENT IMPUTED - Food stamp/SNAP recipiency,Households not receiving food stamps; Margin of Error; PERCENT IMPUTED - Food stamp/SNAP recipiency
1400000US37063000101,37063000101,"Census Tract 1.01, Durham County, North Carolina",1163,102,285,118,878,104,33.9,7.2,37.2,26.1,32.8,6.2,32.0,8.1,56.5,20.5,24.0,8.0,18.6,9.3,49.8,27.5,8.4,5.7,37.1,8.4,61.1,23.6,29.4,6.9,94.1,5.0,87.7,14.6,96.1,4.3,43.2,6.3,11.6,18.1,53.4,7.6,43.2,7.0,62.5,23.5,36.9,6.8,0.0,3.0,0.0,11.5,0.0,3.9,0.0,3.0,0.0,11.5,0.0,3.9,0.0,3.0,0.0,11.5,0.0,3.9,7.7,6.7,13.7,20.5,5.8,6.1,5.9,5.0,12.3,14.6,3.9,4.3,8.4,6.8,13.7,20.5,6.7,6.2,42.5,6.3,11.6,18.1,52.5,7.7,39653,13364,23068,13362,47813,5966,680,115,197,99,483,102,14.4,9.9,27.4,27.4,9.1,5.8,30.6,9.8,31.0,25.9,30.4,9.4,55.0,12.2,41.6,32.7,60.5,10.2,0.9,(X),(X),(X),(X),(X)
1400000US37063000102,37063000102,"Census Tract 1.02, Durham County, North Carolina",1815,111,301,114,1514,133,20.3,4.7,18.9,13.4,20.5,5.1,31.9,6.5,35.9,16.7,31.1,7.5,18.1,5.9,39.5,18.7,13.9,5.4,21.9,5.2,43.5,17.0,17.6,4.6,97.6,2.2,92.0,11.7,98.7,1.8,60.2,7.5,35.9,17.9,65.0,7.7,33.5,5.8,53.5,18.0,29.5,6.1,0.0,1.9,0.0,11.0,0.0,2.3,0.0,1.9,0.0,11.0,0.0,2.3,0.0,1.9,0.0,11.0,0.0,2.3,3.9,3.1,2.7,4.3,4.2,3.6,2.4,2.2,8.0,11.7,1.3,1.8,17.5,5.4,22.3,16.3,16.5,5.7,46.2,6.5,13.6,13.5,52.6,6.6,39311,5631,18945,6381,45198,6673,834,131,118,63,716,128,11.0,7.8,5.9,10.2,11.9,8.9,45.3,13.2,63.6,22.0,42.3,14.1,43.6,11.5,30.5,23.5,45.8,12.0,0.6,(X),(X),(X),(X),(X)
1400000US37063000200,37063000200,"Census Tract 2, Durham County, North Carolina",1368,87,257,103,1111,131,24.0,7.2,9.7,14.5,27.3,9.0,39.3,9.0,57.2,23.4,35.1,7.8,28.5,9.5,60.7,23.3,21.1,11.2,15.1,6.6,30.7,18.9,11.4,7.7,98.2,2.0,94.9,7.8,98.9,1.7,52.6,7.4,27.6,17.8,58.4,8.8,38.2,8.2,67.3,18.3,31.5,9.6,0.0,2.5,0.0,12.7,0.0,3.1,0.8,1.2,0.0,12.7,1.0,1.5,0.0,2.5,0.0,12.7,0.0,3.1,6.5,6.4,0.0,12.7,8.0,7.9,1.8,2.0,5.1,7.8,1.1,1.7,15.3,7.8,23.7,18.7,13.3,8.9,43.9,7.6,3.9,6.6,53.1,9.3,34384,5983,22608,18359,38884,6989,706,133,171,92,535,127,5.9,5.8,14.6,22.2,3.2,3.6,52.8,14.8,71.3,30.0,46.9,16.4,41.2,13.9,14.0,21.0,49.9,15.9,0.0,(X),(X),(X),(X),(X)
1400000US37063000301,37063000301,"Census Tract 3.01, Durham County, North Carolina",1226,71,261,105,965,118,21.5,6.7,26.4,16.9,20.1,7.4,20.9,6.8,50.6,22.3,12.8,8.0,20.7,6.9,26.1,16.2,19.3,7.8,23.9,7.6,54.4,19.4,15.6,6.5,98.9,1.3,100.0,12.5,98.7,1.7,46.4,8.6,20.7,17.5,53.4,9.2,41.4,6.7,58.2,20.7,36.9,8.7,1.1,1.4,5.0,6.5,0.0,3.6,5.1,4.0,0.0,12.5,6.4,5.0,0.0,2.8,0.0,12.5,0.0,3.6,5.0,5.1,16.1,21.0,2.0,2.3,1.1,1.3,0.0,12.5,1.3,1.7,12.5,6.0,19.2,21.2,10.7,7.0,37.8,7.6,17.6,17.6,43.3,8.6,35962,9114,31005,15231,40243,9191,510,97,208,94,302,95,18.6,8.2,22.6,16.0,15.9,9.7,37.8,14.1,26.4,16.3,45.7,17.2,43.5,14.5,51.0,22.3,38.4,17.1,0.0,(X),(X),(X),(X),(X)
1400000US37063000302,37063000302,"Census Tract 3.02, Durham County, North Carolina",1644,87,121,61,1523,102,19.5,4.5,14.0,15.9,20.0,4.6,23.2,5.0,49.6,26.4,21.1,5.0,11.6,4.6,68.6,25.4,7.0,3.7,15.8,4.7,57.0,26.4,12.5,4.6,98.8,1.4,100.0,24.7,98.7,1.5,73.4,5.7,31.4,25.6,76.7,6.7,19.9,4.8,62.0,25.5,16.5,5.5,0.0,2.1,0.0,24.7,0.0,2.3,1.6,1.6,0.0,24.7,1.8,1.7,0.0,2.1,0.0,24.7,0.0,2.3,3.9,3.3,6.6,11.2,3.7,3.4,1.2,1.4,0.0,24.7,1.3,1.5,13.7,5.9,19.8,23.1,13.3,6.3,63.5,6.5,18.2,19.1,67.1,7.5,36016,8374,12386,7623,37383,21480,782,119,60,44,722,115,2.7,2.6,5.0,14.1,2.5,2.3,24.8,10.1,31.7,34.1,24.2,10.9,72.5,9.7,63.3,35.1,73.3,10.6,0.9,(X),(X),(X),(X),(X)
1400000US37063000401,37063000401,"Census Tract 4.01, Durham County, North Carolina",1292,72,15,19,1277,76,23.7,5.1,40.0,60.0,23.5,5.0,24.9,6.4,40.0,60.0,24.7,6.4,6.5,3.8,60.0,60.0,5.9,3.6,18.3,6.3,40.0,60.0,18.1,6.3,96.4,5.7,100.0,79.5,96.3,5.7,94.5,6.1,100.0,79.5,94.4,6.2,1.0,1.8,0.0,79.5,1.0,1.8,0.0,2.7,0.0,79.5,0.0,2.7,0.9,1.4,0.0,79.5,0.9,1.4,0.0,2.7,0.0,79.5,0.0,2.7,0.0,2.7,0.0,79.5,0.0,2.7,3.6,5.7,0.0,79.5,3.7,5.7,2.5,2.5,0.0,79.5,2.5,2.5,92.0,6.6,100.0,79.5,91.9,6.6,65938,17996,-,**,70152,19579,711,105,6,12,705,104,3.4,2.8,0.0,100.0,3.4,2.9,42.8,12.4,0.0,100.0,43.1,12.5,53.9,12.4,100.0,100.0,53.5,12.5,0.9,(X),(X),(X),(X),(X)
1400000US37063000402,37063000402,"Census Tract 4.02, Durham County, North Carolina",1054,92,16,20,1038,93,8.9,3.4,31.3,58.2,8.6,3.5,15.4,4.7,0.0,76.9,15.6,4.8,18.2,6.4,68.8,58.2,17.4,6.6,12.3,5.5,100.0,76.9,11.0,5.6,98.9,1.8,100.0,76.9,98.8,1.8,71.8,8.8,68.8,58.2,71.9,9.3,11.7,6.0,31.3,58.2,11.4,6.2,3.0,4.5,0.0,76.9,3.1,4.6,11.1,6.7,0.0,76.9,11.3,6.8,0.0,3.3,0.0,76.9,0.0,3.3,1.2,1.9,0.0,76.9,1.3,1.9,1.1,1.8,0.0,76.9,1.2,1.8,6.5,4.1,0.0,76.9,6.6,4.2,65.3,9.6,68.8,58.2,65.2,10.1,32101,15531,-,**,32391,18116,267,57,0,12,267,57,2.2,3.8,-,**,2.2,3.8,15.7,10.9,-,**,15.7,10.9,82.0,10.4,-,**,82.0,10.4,0.0,(X),(X),(X),(X),(X)
1400000US37063000500,37063000500,"Census Tract 5, Durham County, North Carolina",1271,108,380,103,891,131,15.1,4.8,20.5,11.7,12.8,5.6,21.5,5.2,34.7,14.3,15.8,7.2,40.0,8.9,62.6,16.3,30.4,8.1,24.5,6.0,42.9,15.5,16.7,6.3,97.4,2.3,98.4,2.6,97.0,3.1,24.3,4.9,3.2,5.0,33.3,7.2,63.3,6.5,95.3,5.6,49.6,9.2,0.0,2.7,0.0,8.8,0.0,3.8,7.1,3.5,0.0,8.8,10.1,5.0,0.0,2.7,0.0,8.8,0.0,3.8,2.8,3.2,0.0,8.8,3.9,4.6,2.6,2.3,1.6,2.6,3.0,3.1,3.6,3.4,1.6,2.6,4.5,4.8,23.9,4.9,3.2,5.0,32.8,7.3,21917,2810,11908,5122,24741,5514,418,81,148,64,270,85,8.9,8.3,7.4,12.2,9.6,12.1,68.4,12.8,86.5,15.5,58.5,18.7,22.7,10.7,6.1,10.6,31.9,15.2,0.7,(X),(X),(X),(X),(X)
1400000US37063000600,37063000600,"Census Tract 6, Durham County, North Carolina",2011,152,368,138,1643,158,23.8,4.9,10.1,9.4,26.8,6.0,30.2,5.3,61.7,19.9,23.2,7.8,25.4,7.1,43.8,24.5,21.2,6.7,21.0,6.5,32.1,19.8,18.5,6.1,95.4,4.4,81.3,19.7,98.6,2.0,62.8,6.2,42.7,24.2,67.3,8.2,27.9,4.3,38.6,23.8,25.6,6.7,0.0,1.7,0.0,9.1,0.0,2.1,2.4,2.5,0.0,9.1,3.0,3.1,0.0,1.7,0.0,9.1,0.0,2.1,2.3,2.8,0.0,9.1,2.8,3.4,4.6,4.4,18.8,19.7,1.4,2.0,13.6,6.3,29.9,27.1,9.9,6.1,51.5,5.7,12.8,12.3,60.1,6.6,48750,8611,24815,16271,55417,15600,1236,149,258,113,978,142,11.5,6.2,1.9,4.7,14.0,7.4,27.6,8.7,57.4,37.6,19.7,9.7,60.9,9.0,40.7,37.1,66.3,9.8,1.5,(X),(X),(X),(X),(X)
