"Id2","Geography","Total..Estimate..Households","Households.receiving.food.stamps..Estimate..Households","Total..Estimate..With.children.under.18.years","Households.receiving.food.stamps..Estimate..With.children.under.18.years","Total..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Households.receiving.food.stamps..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Total..Estimate..Hispanic.or.Latino.origin..of.any.race.","Households.receiving.food.stamps..Estimate..Hispanic.or.Latino.origin..of.any.race."
37063000101,"Census Tract 1.01, Durham County, North Carolina",1163,285,"32.0","56.5","18.6","49.8","8.4","13.7"
37063000102,"Census Tract 1.02, Durham County, North Carolina",1815,301,"31.9","35.9","18.1","39.5","17.5","22.3"
37063000200,"Census Tract 2, Durham County, North Carolina",1368,257,"39.3","57.2","28.5","60.7","15.3","23.7"
37063000301,"Census Tract 3.01, Durham County, North Carolina",1226,261,"20.9","50.6","20.7","26.1","12.5","19.2"
37063000302,"Census Tract 3.02, Durham County, North Carolina",1644,121,"23.2","49.6","11.6","68.6","13.7","19.8"
37063000401,"Census Tract 4.01, Durham County, North Carolina",1292,15,"24.9","40.0","6.5","60.0","2.5","0.0"
37063000402,"Census Tract 4.02, Durham County, North Carolina",1054,16,"15.4","0.0","18.2","68.8","6.5","0.0"
37063000500,"Census Tract 5, Durham County, North Carolina",1271,380,"21.5","34.7","40.0","62.6","3.6","1.6"
37063000600,"Census Tract 6, Durham County, North Carolina",2011,368,"30.2","61.7","25.4","43.8","13.6","29.9"
37063000700,"Census Tract 7, Durham County, North Carolina",1451,309,"21.4","21.4","19.9","70.9","3.9","7.4"
37063000900,"Census Tract 9, Durham County, North Carolina",682,295,"29.9","32.5","36.1","47.5","22.3","4.7"
37063001001,"Census Tract 10.01, Durham County, North Carolina",1266,546,"44.5","74.4","48.0","67.9","17.1","18.1"
37063001002,"Census Tract 10.02, Durham County, North Carolina",2000,779,"49.0","70.6","43.0","68.9","27.6","23.5"
37063001100,"Census Tract 11, Durham County, North Carolina",1162,558,"37.5","43.7","50.0","71.1","15.0","5.7"
37063001301,"Census Tract 13.01, Durham County, North Carolina",451,200,"33.9","51.0","49.2","71.0","9.3","4.0"
