marketname,x,y,open_winter,open_spring,open_summer,open_fall,numCrop,seasons,season
Apex Farmers Market,-78.849899,35.732014,NA,4,7,6,17,17,Spring-fall
Carrboro Farmers' Market,-79.077728,35.911388,NA,4,7,6,17,17,Spring-fall
Cary Downtown Farmers Market,-78.871002,35.728699,NA,NA,NA,NA,0,0,0
Clayton Farm and Community Market,-78.457146,35.651005,NA,4,7,6,17,17,Spring-fall
Duke Farmers Market,-78.939224,36.005436,NA,4,7,6,17,17,Spring-fall
Duke Farmers Market at Duke Regional Hospital,-78.899986,36.035961,NA,NA,7,NA,7,7,Summer
Duke Mobile Farmers Market,-78.932053,35.994686,NA,4,7,NA,11,11,Spring-Summer
Durham Farmers' Market,-78.901855,36.000561,4,4,7,6,21,21,year round
Eno River Farmers Market in Downtown Hillsborough,-79.097778,36.074024,4,4,7,6,21,21,year round
Farmers Market in the Holly Springs Village District,-78.833618,35.651264,NA,NA,7,6,13,13,Summer-fall
Growers Market of Fuquay-Varina,-78.799301,35.584599,NA,NA,NA,NA,0,0,0
Hillsborough Farmers Market,-79.080727,36.05545,4,4,7,6,21,21,year round
Johnston County Produce Market,-78.346397,35.5023,NA,NA,NA,NA,0,0,0
Midtown Farmers' Market,-78.642609,35.837303,NA,4,7,6,17,17,Spring-fall
Moore Square Farmers Market,-78.639938,35.773556,NA,4,7,NA,11,11,Spring-Summer
North Raleigh Farmers' Market,-78.588661,35.906849,NA,NA,NA,NA,0,0,0
Raleigh Downtown Farmers Market,-78.639389,35.774303,NA,4,7,6,17,17,Spring-fall
Smithfield Farmers Market,-78.345215,35.510483,NA,NA,NA,NA,0,0,0
South Durham Farmers' Market,-78.896553,35.889294,4,4,7,6,21,21,year round
Southern Village Farmers Market,-79.065903,35.88102,NA,NA,7,6,13,13,Summer-fall
State Farmers Market ,-78.662735,35.763634,4,4,7,6,21,21,year round
The Chapel Hill Farmers' Market,-79.029434,35.927547,NA,4,7,6,17,17,Spring-fall
Wake Forest Farmers Market,-78.508759,35.980488,4,4,7,6,21,21,year round
WakeMed Farmers Market,-78.587914,35.783886,NA,NA,7,NA,7,7,Summer
Waverly Farmers' Market,-78.777298,35.738503,NA,4,7,6,17,17,Spring-fall
Wendell Farmers Market,-78.3713,35.780998,NA,NA,NA,NA,0,0,0
Western Wake Farmers' Market,-78.854362,35.82111,4,4,7,6,21,21,year round
